2024-05-22 13:53:25,187 INFO    MainThread:35482 [wandb_setup.py:_flush():76] Current SDK version is 0.16.6
2024-05-22 13:53:25,188 INFO    MainThread:35482 [wandb_setup.py:_flush():76] Configure stats pid to 35482
2024-05-22 13:53:25,188 INFO    MainThread:35482 [wandb_setup.py:_flush():76] Loading settings from /Users/susu/.config/wandb/settings
2024-05-22 13:53:25,188 INFO    MainThread:35482 [wandb_setup.py:_flush():76] Loading settings from /Users/susu/Library/CloudStorage/OneDrive-Personal/Wisc/clip_count_continued/CLIP_Counting/process_dataset/wandb/settings
2024-05-22 13:53:25,188 INFO    MainThread:35482 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-05-22 13:53:25,188 INFO    MainThread:35482 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-05-22 13:53:25,188 INFO    MainThread:35482 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-05-22 13:53:25,188 INFO    MainThread:35482 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-05-22 13:53:25,188 INFO    MainThread:35482 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-05-22 13:53:25,188 INFO    MainThread:35482 [wandb_init.py:_log_setup():521] Logging user logs to /Users/susu/Library/CloudStorage/OneDrive-Personal/Wisc/clip_count_continued/CLIP_Counting/process_dataset/wandb/run-20240522_135325-8s167hvw/logs/debug.log
2024-05-22 13:53:25,188 INFO    MainThread:35482 [wandb_init.py:_log_setup():522] Logging internal logs to /Users/susu/Library/CloudStorage/OneDrive-Personal/Wisc/clip_count_continued/CLIP_Counting/process_dataset/wandb/run-20240522_135325-8s167hvw/logs/debug-internal.log
2024-05-22 13:53:25,188 INFO    MainThread:35482 [wandb_init.py:_jupyter_setup():467] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7faff0c63c10>
2024-05-22 13:53:25,188 INFO    MainThread:35482 [wandb_init.py:init():561] calling init triggers
2024-05-22 13:53:25,188 INFO    MainThread:35482 [wandb_init.py:init():568] wandb.init called with sweep_config: {}
config: {}
2024-05-22 13:53:25,188 INFO    MainThread:35482 [wandb_init.py:init():611] starting backend
2024-05-22 13:53:25,188 INFO    MainThread:35482 [wandb_init.py:init():615] setting up manager
2024-05-22 13:53:25,191 INFO    MainThread:35482 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-05-22 13:53:25,192 INFO    MainThread:35482 [wandb_init.py:init():623] backend started and connected
2024-05-22 13:53:25,198 INFO    MainThread:35482 [wandb_run.py:_label_probe_notebook():1299] probe notebook
2024-05-22 13:53:25,198 INFO    MainThread:35482 [wandb_run.py:_label_probe_notebook():1309] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2024-05-22 13:53:25,198 INFO    MainThread:35482 [wandb_init.py:init():715] updated telemetry
2024-05-22 13:53:25,241 INFO    MainThread:35482 [wandb_init.py:init():748] communicating run to backend with 90.0 second timeout
2024-05-22 13:53:26,328 INFO    MainThread:35482 [wandb_run.py:_on_init():2357] communicating current version
2024-05-22 13:53:26,407 INFO    MainThread:35482 [wandb_run.py:_on_init():2366] got version response upgrade_message: "wandb version 0.17.0 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-05-22 13:53:26,407 INFO    MainThread:35482 [wandb_init.py:init():799] starting run threads in backend
2024-05-22 13:53:27,911 INFO    MainThread:35482 [wandb_run.py:_console_start():2335] atexit reg
2024-05-22 13:53:27,912 INFO    MainThread:35482 [wandb_run.py:_redirect():2190] redirect: wrap_raw
2024-05-22 13:53:27,912 INFO    MainThread:35482 [wandb_run.py:_redirect():2255] Wrapping output streams.
2024-05-22 13:53:27,912 INFO    MainThread:35482 [wandb_run.py:_redirect():2280] Redirects installed.
2024-05-22 13:53:27,913 INFO    MainThread:35482 [wandb_init.py:init():842] run started, returning control to user process
2024-05-22 13:53:28,073 INFO    MainThread:35482 [wandb_run.py:_finish():2064] finishing run ruisu/clip_count_filtered_images_reviewed/8s167hvw
2024-05-22 13:53:28,074 ERROR   MainThread:35482 [jupyter.py:save_history():437] Run pip install nbformat to save notebook history
2024-05-22 13:53:28,074 INFO    MainThread:35482 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-05-22 13:53:28,074 INFO    MainThread:35482 [wandb_init.py:_jupyter_teardown():449] cleaning up jupyter logic
2024-05-22 13:53:28,074 INFO    MainThread:35482 [wandb_run.py:_atexit_cleanup():2304] got exitcode: 0
2024-05-22 13:53:28,074 INFO    MainThread:35482 [wandb_run.py:_restore():2287] restore
2024-05-22 13:53:28,074 INFO    MainThread:35482 [wandb_run.py:_restore():2293] restore done
2024-05-22 13:53:30,067 INFO    MainThread:35482 [wandb_run.py:_footer_history_summary_info():3936] rendering history
2024-05-22 13:53:30,067 INFO    MainThread:35482 [wandb_run.py:_footer_history_summary_info():3968] rendering summary
2024-05-22 13:53:30,085 INFO    MainThread:35482 [wandb_run.py:_footer_sync_info():3895] logging synced files
